STATE,NAME,abbr,POPESTIMATE1996,POPESTIMATE1997,POPESTIMATE1998,POPESTIMATE1999,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
45,South Carolina,SC,"3,738,974","3,790,066","3,839,578","3,885,736","4,024,223","4,064,995","4,107,795","4,150,297","4,210,921","4,270,150","4,357,847","4,444,110","4,528,996","4,589,872","4,635,894","4,672,733","4,721,341","4,768,498","4,829,160","4,896,146","4,963,132"
46,South Dakota,SD,"730,699","730,855","730,789","733,133","755,844","757,972","760,020","763,729","770,396","775,493","783,033","791,623","799,124","807,067","816,299","824,289","834,631","845,270","853,304","858,469","863,634"
47,Tennessee,TX,"5,313,576","5,378,433","5,432,679","5,483,535","5,703,719","5,750,789","5,795,918","5,847,812","5,910,809","5,991,057","6,088,766","6,175,727","6,247,411","6,306,019","6,356,585","6,398,408","6,455,469","6,496,130","6,547,779","6,600,299","6,652,819"
48,Texas,TX,"19,006,240","19,355,427","19,712,389","20,044,141","20,944,499","21,319,622","21,690,325","22,030,931","22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761","25,244,363","25,654,464","26,089,741","26,500,674","26,979,078","27,469,114","27,959,150"
49,Utah,UTA,"2,022,253","2,065,397","2,100,562","2,129,836","2,244,502","2,283,715","2,324,815","2,360,137","2,401,580","2,457,719","2,525,507","2,597,746","2,663,029","2,723,421","2,775,426","2,816,440","2,856,343","2,903,685","2,944,498","2,995,919","3,047,340"
50,Vermont,VT,"586,352","588,665","590,579","593,740","609,618","612,223","615,442","617,858","619,920","621,215","622,892","623,481","624,151","624,817","625,984","626,687","626,398","627,129","626,767","626,042","625,317"
51,Virginia,VA,"6,665,491","6,732,878","6,789,225","6,872,912","7,105,817","7,198,362","7,286,873","7,366,977","7,475,575","7,577,105","7,673,725","7,751,000","7,833,496","7,925,937","8,025,787","8,110,783","8,193,374","8,267,875","8,328,098","8,382,993","8,437,888"
53,Washington,WA,"5,509,963","5,604,105","5,687,832","5,756,361","5,910,512","5,985,722","6,052,349","6,104,115","6,178,645","6,257,305","6,370,753","6,461,587","6,562,231","6,667,426","6,743,060","6,823,229","6,897,292","6,973,281","7,063,166","7,170,351","7,277,536"
54,West Virginia,WV,"1,818,983","1,815,588","1,811,688","1,806,928","1,807,021","1,801,481","1,805,414","1,812,295","1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775","1,854,225","1,854,948","1,856,283","1,852,985","1,848,751","1,844,128","1,839,505"
55,Wisconsin,WI,"5,173,828","5,200,235","5,222,124","5,250,446","5,373,999","5,406,835","5,445,162","5,479,203","5,514,026","5,546,166","5,577,655","5,610,775","5,640,996","5,669,264","5,690,204","5,709,720","5,726,422","5,743,653","5,759,432","5,771,337","5,783,242"
56,Wyoming,WY,"480,085","480,031","480,045","479,602","494,300","494,657","500,017","503,453","509,106","514,157","522,667","534,876","546,043","559,851","564,516","567,768","577,080","583,131","584,304","586,107","587,910"
